"a" "b" "c"
76 -45 -54
-93 40 30
-69 17 1
24 69 -20
-68 55 -41
-25 99 -72
-74 45 -84
2 73 69
-32 0 -99
-78 25 -96
-13 -11 57
-16 -47 4
37 1 -84
46 64 -60
49 -17 -4
38 7 3
72 -62 94
-5 -96 -52
24 15 -69
-25 100 58
68 -8 30
29 -62 -44
88 -47 -4
-15 -87 49
7 -64 78
-75 -35 -85
53 63 -78
91 89 9
100 18 42
-57 -68 69
37 75 -98
-86 -88 52
-19 -63 -11
-76 38 35
98 -42 -90
33 -93 10
80 94 88
37 -96 42
-35 -4 -66
-45 15 24
-49 -52 88
82 87 -79
97 -38 -3
33 74 79
53 -96 43
27 22 -96
-82 3 -78
65 18 -98
11 -66 -60
96 44 90
20 -66 -11
-58 13 50
-48 -51 -86
-12 -75 -70
38 78 63
-51 -44 -81
-59 -23 64
34 80 53
36 -88 -15
58 -56 -9
77 28 -58
-5 -80 49
-67 40 19
-98 30 -81
96 52 83
-30 3 -100
83 -54 100
50 -81 -95
70 -13 58
-25 76 99
-13 50 -10
71 39 71
-94 -37 -67
-23 64 75
72 81 -99
-38 95 -51
-36 -11 -57
-26 44 -19
-77 67 -11
-22 -17 23
-52 81 -66
64 -20 55
62 15 82
-16 10 10
10 -89 -21
-8 93 -26
-19 17 38
-97 -70 27
-29 17 -38
48 -16 84
18 74 -89
-66 18 79
-96 17 -10
-61 85 87
33 64 -55
85 94 6
-54 -11 -39
-9 12 64
24 -38 -4
52 -77 -65
76 -86 11
-84 17 98
-55 -85 -83
45 -57 -80
-79 43 17
75 -73 35
60 -30 -51
76 99 56
4 17 -83
90 50 -32
48 5 37
44 -56 -10
36 -77 -87
73 -50 -24
-28 -18 -81
-15 -77 100
90 -33 59
-91 15 15
-32 32 2
58 -81 -13
86 -87 -39
-13 84 76
-93 46 0
-56 96 -34
-13 40 -7
-58 2 25
76 71 69
-93 88 -19
-76 -57 -10
-95 39 53
14 -88 72
-85 86 -11
-16 28 43
3 -71 92
-80 -13 46
77 30 -51
4 77 55
-25 -27 -7
61 -29 26
-68 -93 4
-80 -47 -12
-51 20 -25
-19 23 -49
29 79 58
79 -18 -87
84 -96 42
-46 23 -55
-16 85 -70
15 -80 -6
-57 4 -40
77 74 -49
5 -52 23
-71 53 -40
-46 74 47
-41 -41 40
-40 55 40
43 37 -81
-37 99 94
-2 -59 -64
44 -73 -67
-73 21 66
-33 -46 -38
70 -75 6
-50 -59 -82
-31 -74 33
14 81 52
-10 87 -65
73 32 76
-18 34 -59
-50 76 96
58 -65 -81
-73 23 34
72 -47 58
-65 -75 68
-78 28 88
-22 6 -92
-2 40 -60
-66 87 -13
-40 -77 60
2 -1 100
-21 -14 23
-19 57 -85
-34 -82 -75
9 50 -80
-25 -11 53
-70 -19 51
95 20 -36
-11 -30 -31
-87 51 33
-50 -76 56
97 44 -35
85 -21 -50
-54 -46 73
-93 -90 42
-14 -36 -19
-51 96 80
40 64 91
-32 -4 73
96 -77 -37
31 57 -18
9 3 6
84 93 96
41 -52 -36
59 -44 -54
-61 -64 76
-51 37 91
83 44 -47
-6 44 14
45 -69 46
-19 75 56
75 67 -76
63 -26 -100
90 10 98
35 10 -49
75 65 -4
69 -20 0
-58 12 88
-84 68 -99
52 -84 -64
92 2 -32
-19 5 71
12 56 81
58 -4 -87
75 -49 -100
84 -42 15
85 -85 54
72 -96 -72
-10 11 -90
-55 -16 23
64 -51 -65
-99 -97 -72
30 69 41
-54 -22 -100
15 94 -45
3 -21 66
50 -2 31
-28 4 21
16 39 -73
-11 -83 49
-3 21 93
-26 -19 9
-25 35 -13
72 57 -87
54 66 33
88 7 -38
-58 74 -15
-48 -27 -61
-87 69 96
-19 43 93
34 -15 21
-70 -77 51
-51 -59 59
99 84 47
67 -24 -2
31 -43 56
4 1 -84
100 93 -78
81 -19 39
-15 79 27
-28 70 -81
-76 29 -7
8 90 11
-11 -85 49
8 42 67
62 63 -46
-55 -96 73
-100 73 -76
81 6 45
36 -11 64
-97 54 -65
-42 -26 -96
-52 -36 -27
35 59 -90
55 -16 35
-9 -99 -85
11 77 -50
-42 56 -38
-45 8 -10
1 -49 -28
34 53 -51
14 -92 40
6 17 39
-59 -54 70
-91 92 -39
-61 77 -29
-77 -70 -57
-64 -68 -9
-74 37 -52
-96 -49 80
-76 9 10
-73 76 98
27 -76 -73
31 -94 17
7 -24 -54
59 93 0
-21 65 30
-99 -98 -32
8 62 49
21 47 87
-47 32 67
25 -11 -98
90 57 62
64 -5 11
15 85 72
-9 80 -12
56 31 -58
-81 -20 77
-74 20 -45
50 -30 -81
