a,b,c
56,46,-14
-69,19,-49
76,6,93
-92,-3,-65
-90,84,-56
-21,66,-90
-6,-42,-70
-9,65,73
-26,-2,57
44,-24,-33
-99,-59,-23
57,23,-72
94,99,-62
-11,-63,69
87,-11,78
24,97,72
31,37,51
-58,81,58
-78,-69,59
-74,-53,41
59,59,-32
-91,-35,-29
-92,-78,89
78,-54,32
-45,-52,-34
18,-15,49
-14,-14,9
-37,0,-96
79,85,-7
-39,7,-84
91,91,5
-40,19,-30
-57,27,60
24,-34,-96
45,-64,-93
36,-44,65
-56,51,-65
78,-42,87
-28,-85,-91
2,-77,88
-42,-55,-4
-56,-94,-57
26,47,81
-70,-7,-33
20,-37,-45
-6,2,-79
9,-10,21
21,-86,51
76,-2,81
73,15,29
-58,4,3
96,-100,47
-22,-74,-98
88,45,3
89,-50,100
11,76,66
-71,-83,34
31,-68,46
37,-32,-36
-31,-47,-41
96,-43,-91
22,43,-9
95,-90,33
-82,-2,-44
24,63,29
-7,1,23
26,55,-71
-89,-46,74
94,-57,-67
-24,-97,-91
19,-19,20
67,-39,55
89,99,-60
74,56,-94
-38,35,-23
9,23,42
100,-19,6
-55,-65,79
-53,-62,80
-71,-70,-99
-3,-56,-68
48,-77,-11
-28,-78,-15
-82,23,-22
-19,-74,28
-94,17,-53
47,-9,81
22,-85,-77
-72,-48,64
87,-23,-10
71,-16,58
-18,-69,-33
13,47,12
68,61,4
-85,-14,29
-76,51,1
4,95,76
-27,-47,-96
-46,-31,-40
1,-58,-45
-65,-92,-43
28,-53,-84
-84,0,6
21,92,40
-8,-93,91
69,23,-34
-71,-67,86
1,7,67
19,42,6
-46,-4,59
21,-81,47
52,-21,19
-82,47,-27
7,61,38
-52,-80,-19
73,99,53
-1,-99,34
74,-49,-70
71,-21,22
-76,-60,-12
7,24,-81
76,14,24
-42,-83,-86
-61,57,-99
-55,50,53
-12,-52,-30
97,87,-40
29,69,-98
13,-32,53
-35,-100,23
-20,7,-10
54,-87,-96
-12,-82,-47
-71,59,64
-32,70,47
67,46,60
-60,84,50
94,-89,-57
91,-13,63
-58,-68,-67
75,-37,-78
-36,-20,72
-4,-29,-9
-63,28,-47
7,-21,-16
-9,-86,82
-28,89,-79
-31,68,-77
39,-74,-54
-96,69,-50
78,-20,-86
29,46,15
100,56,-39
2,41,-65
-5,38,35
-78,-52,-75
74,39,-12
